id,titre,marque,categorie,prix,prix_barre,devise,retailer,remise_pct,segment
RXDYRhc,The Leather Sneaker,Marc Jacobs,Shoes,150.0,250.0,USD,marcjacobs.com,40.0,2. Mid
H07iiHM,Leather Shoes,Marni,Shoes,1667.41,2058.72,USD,shop.simon.com,19.0,3. Luxe
eoa4VBv,Leather flat shoes,Mango,Shoes,89.99,,USD,shop.mango.com,,2. Mid
WYe28xT,Sneakers,Veja,Shoes,14.0,35.0,USD,therealreal.com,60.0,1. Accessible
DRj7Mm9,Classic Leather Shoes,Reebok,Shoes,47.0,115.0,USD,eu.thesportsedit.com,59.1,1. Accessible
zNMi6sq,Gathered leather shoes,Mango,Shoes,89.99,149.99,USD,shop.mango.com,40.0,2. Mid
US18IuS,Clarkson Leather Driving Shoes,Bally,Shoes,357.5,,USD,neimanmarcus.com,,3. Luxe
ZWku6XO,Tobias Monk Strap Leather Shoes,Salvatore Ferragamo,Shoes,750.0,,USD,jomashop.com,,3. Luxe
G93jMk5,Dr. Martens Mary Jane Shoes,Dr Martens,Shoes,150.0,,USD,drmartens.com,,2. Mid
Bd0wv4u,Nike Pacific Leather Shoes,Nike,Shoes,67.97,80.0,USD,nike.com,15.0,1. Accessible
821vl8n,Leather Derby Shoes,Salvatore Ferragamo,Shoes,651.72,1380.0,USD,shop.simon.com,52.8,3. Luxe
2AETXm4,Elphie Mary Jane Leather Shoes,Dr Martens,Shoes,79.97,130.0,USD,drmartens.com,38.5,1. Accessible
